GPA,PARTICIPATION,GENDER,EMAIL
5.8871676747,1,0,1
4.8165921504,0,1,0
4.7040426233,0,1,0
5.514223576,0,0,1
6.1045695059,0,0,0
6.8490458538,1,1,0
5.2519560134,1,1,1
5.4923931531,0,1,1
5.5698243206,0,1,0
4.5765386217,0,1,0
6.3804386299,0,0,1
6.2643839684,1,1,1
5.3862884758,0,1,0
6.634600755,0,1,1
7.080992461,1,1,0
6.1284455245,0,0,1
6.728934631,1,1,0
7.0059799904,1,0,0
6.3086089135,0,1,1
5.494397362,0,1,0
5.5984287251,0,0,0
5.6258514782,0,1,0
6.260235457,1,1,1
6.0910842002,1,1,0
4.6336151565,0,0,0
6.4920537514,0,0,0
5.7922030993,0,0,1
5.2532862221,0,1,0
4.4982800443,0,1,1
5.3399062638,0,0,0
6.4010797239,1,0,1
5.481635326,1,1,1
6.0748548721,1,0,1
4.0283570683,0,1,1
6.6089572934,1,0,0
6.8967347827,0,1,0
7.7209082312,1,0,0
6.3179293514,1,1,1
4.8353975989,0,0,0
7.556118393,1,0,1
5.971224689,0,0,1
7.0571294821,0,1,1
5.8662766589,0,1,1
4.5826990152,0,1,1
5.6140946535,0,1,1
5.2107001784,0,1,0
5.6933748375,1,1,1
6.4796856245,1,1,1
4.890949252,0,0,0
7.8174650746,1,0,1
7.0529298144,0,0,0
5.2735431662,0,0,0
7.6775062314,1,0,1
6.9293237779,0,0,0
5.0876300641,0,0,1
6.2393229572,0,0,0
6.2002087953,0,1,0
5.8642313963,0,1,0
6.8103109475,1,0,1
5.0159212737,0,0,0
6.7248953064,1,0,0
6.9625617662,1,1,1
4.941930931,0,1,0
6.8221364997,1,0,1
5.0369799472,0,1,0
6.0113949983,0,0,0
7.0675105865,1,1,0
5.7291769821,0,1,1
5.4017581761,0,0,1
6.6841257375,1,1,1
5.8397652298,0,1,0
5.219707177,0,0,1
6.0139709808,1,0,0
6.4131041856,1,0,1
4.6815687852,0,1,1
5.8861974927,0,0,0
6.2525075534,0,1,0
5.3451201246,0,0,1
5.8118831678,0,1,1
6.5514364933,1,1,1
5.4014372128,0,1,0
5.0671533259,0,1,1
7.7969085378,1,0,1
7.1221272426,0,1,0
6.5722785684,0,0,0
5.3072492227,0,0,1
5.0822183024,1,1,1
5.7966827973,0,0,0
5.4635788877,0,1,0
7.0517308289,1,0,1
6.6275296455,0,0,0
5.3442160231,0,0,1
5.5745433808,0,1,1
6.4771205851,1,1,1
5.3124043754,0,0,0
6.0385560497,1,0,1
5.7348345861,0,0,0
4.9629719297,0,1,1
5.2971601904,0,1,0
6.8162058618,0,0,0
5.4867868339,0,0,1
6.2842136104,1,0,1
5.5054923035,1,1,1
7.5731077948,0,0,1
5.405382979,1,0,1
6.0503489494,0,0,0
6.7513650259,0,1,0
6.2223063516,0,1,0
5.5948158389,0,0,0
5.7995208896,0,1,0
6.9235930287,0,0,0
5.4969588811,0,1,1
6.0052380884,1,0,1
6.4126368371,1,1,1
5.9895974996,0,1,0
7.448998287,1,1,1
4.425870335,0,1,0
6.3782847269,0,0,0
6.7676119315,1,0,1
6.8932496025,1,1,0
6.3457659874,0,0,0
4.6599651742,0,0,0
6.2120616565,1,1,1
7.2740455662,1,0,1
5.5906911546,0,0,0
6.5878465015,1,0,1
5.665926239,0,1,0
5.8510876353,0,0,0
6.4892914765,1,0,1
5.5177964233,1,1,1
7.0888775938,0,0,0
6.6486684546,0,1,0
6.7722430169,0,0,0
4.4222825784,0,1,1
6.229683218,1,1,1
5.0012172962,0,1,0
5.6984267101,0,0,1
4.9044050785,0,1,1
4.7516640508,0,1,1
5.0050888282,0,1,0
6.1779107333,0,0,0
6.1896043138,1,1,1
5.0493213054,0,0,0
5.3525260741,0,0,0
6.8882003742,0,0,0
5.0559171714,1,1,1
4.5136400205,0,1,0
6.0360590602,0,1,0
6.4649633879,1,1,1
5.5695424305,0,0,1
6.1734961229,0,0,0
7.2174028215,1,0,1
5.4134942697,0,0,1
5.9097709637,0,1,0
6.4442188734,0,0,0
5.4660934052,0,1,0
6.5773189348,1,0,1
6.8147323435,1,1,0
5.7152516443,0,1,1
6.651838188,1,1,0
7.3616384955,1,0,0
5.7096959805,0,0,0
5.8434220059,1,1,1
7.3116763557,0,0,0
5.8128304462,0,0,0
6.5693112443,1,1,1
6.3915715623,0,0,0
5.0827634935,1,1,1
5.6531427116,0,0,0
5.1786637236,0,1,1
6.7495855776,1,0,0
6.1594330965,1,0,1
5.4112888589,0,1,0
6.5636314584,0,0,0
7.0264315894,0,0,1
5.612191606,0,1,1
5.5462125114,0,1,0
5.9139848634,0,1,1
6.0960627411,1,1,1
4.6955729828,0,0,1
6.1267821453,1,1,1
6.939037334,1,0,1
6.1659289332,0,0,0
5.8166920583,0,0,1
6.2111893364,0,1,0
5.495305169,0,0,0
4.8290100633,0,0,0
5.1993588834,0,1,1
6.4098460477,0,1,0
4.8042489212,0,0,0
4.7503671587,1,1,1
5.9779885482,1,0,1
6.6672662569,0,0,1
5.7523180782,0,0,1
6.9444276171,0,0,0
5.0541683913,1,1,0
6.4873182069,0,0,0
4.1957123819,0,1,1
6.3509905106,0,1,0
6.5921499976,1,0,0
6.8923583083,0,0,0
5.5278076401,0,1,1
6.2387033369,0,1,0
6.7115740856,0,0,0
6.1427649026,0,0,1
5.1912331266,0,1,1
5.7656840834,0,0,1
7.2305383818,1,0,1
5.736732357,0,0,0
7.1843971259,1,1,0
5.7533562881,0,0,1
6.2101641856,1,1,1
6.2273067376,1,0,1
5.558217148,0,1,0
6.4411140586,0,1,1
5.8296957603,1,1,1
5.4936266554,0,0,0
3.8693798978,0,1,1
5.5002949071,0,1,1
5.0998494451,0,1,1
6.2529679196,0,1,0
5.8387255525,0,0,0
6.7597751654,1,1,1
7.4790023788,1,1,0
6.8634974022,1,0,1
6.8186149081,1,1,1
5.8956314556,0,0,0
6.1732102388,1,1,1
6.3653575019,0,1,0
5.7840332823,1,0,1
6.1294795993,0,1,0
4.6028261536,0,1,0
5.9348106486,0,1,0
4.5840457344,0,1,1
4.5071938527,0,1,0
6.6505919354,1,1,1
6.6359687953,1,0,1
5.5163825471,0,0,0
6.008186443,0,0,0
4.682142822,0,1,1
5.5538580794,0,0,0
6.5545163252,0,1,0
6.5277654575,1,0,1
7.1178595026,1,0,1
5.9182161593,0,1,1
5.5650539205,1,1,1
7.0327751896,1,1,1
6.4553624844,1,0,1
5.7285204143,0,1,0
5.8888314475,1,1,1
6.5985026636,0,1,0
7.0030523262,1,0,1
5.9860258662,0,0,1
5.4966804945,0,0,0
6.2882662599,0,0,0
5.4939523683,0,0,1
6.241062074,1,1,1
6.5143828342,0,0,1
4.9925242213,0,1,0
5.1654759884,0,1,0
4.9122694894,0,1,0
7.0331734065,1,1,1
6.2422255282,0,1,0
6.2756063407,0,0,0
7.0773578575,0,1,0
5.3338765488,0,1,0
4.5234344304,0,0,1
4.3880145345,0,1,1
5.7512343761,0,0,0
5.7282190721,0,0,0
5.6873387536,1,1,0
6.7159550365,1,1,1
5.0313386239,0,0,0
6.3102019987,0,1,1
6.2707714439,1,1,1
6.6803082125,1,1,1
4.8261857155,0,0,1
4.813500684,0,1,0
6.0393518566,1,0,1
6.3382951695,1,1,1
6.8109625703,0,1,0
6.6877273274,1,0,1
6.8746880583,0,0,0
5.7237434628,0,0,0
6.9042698115,0,1,0
6.7957659675,0,0,1
6.7056221487,1,0,1
5.4882474651,1,0,1
6.2076675201,1,0,1
5.8827598884,0,0,1
5.3247674187,0,1,0
5.3341989116,0,0,0
5.4240664971,0,0,1
6.9460892292,1,0,1
7.3160711423,1,0,1
6.940398674,0,1,0
6.6092581643,0,0,0
5.489984255,0,1,0
4.9180923099,0,0,1
5.7890554592,0,1,1
4.4309558647,0,1,0
5.9027182231,0,0,1
6.265948095,1,0,1
5.2993238036,0,0,1
7.4031122031,1,0,1
6.6604731467,1,0,1
5.5095693634,0,1,1
6.9585654379,1,0,1
5.6780413066,1,1,1
5.0494473887,0,1,1
7.0562805643,0,0,1
3.9196817102,0,1,1
5.3471140316,0,0,0
5.7459667312,0,0,0
5.6953008046,0,1,1
3.7970634701,0,1,0
7.0670231259,1,0,0
6.3500602116,0,0,0
5.4467853471,0,0,1
8.1568700697,1,0,1
5.4895249813,0,0,1
6.8862053734,1,0,1
6.0148803907,0,1,0
6.7568314737,1,1,0
4.7143680512,0,1,0
4.6121634557,0,0,1
5.8135007997,0,0,0
7.5687401069,1,0,1
6.954586691,1,0,1
4.3048514602,0,1,0
5.9997049878,0,1,0
6.3167152923,0,1,0
7.1443595525,1,1,0
4.3698418519,0,0,1
5.3976099241,0,0,0
6.0379944998,0,0,0
5.2897729047,0,0,1
7.0221460748,1,1,0
4.9605571723,0,0,1
6.0754204749,0,0,0
6.8718183954,1,1,1
5.4337105789,0,0,0
6.0391574861,0,0,1
4.8888353282,1,0,1
6.0293288594,1,0,1
6.7681317379,0,1,0
7.2418681402,0,0,1
6.3732770027,1,1,1
6.1307523241,0,0,0
4.8862579664,0,1,1
6.3701192563,0,1,0
5.503945821,0,0,1
7.8137042832,1,0,1
6.0504738224,0,1,1
6.6218687229,1,0,1
5.7439712392,0,0,0
4.7683520257,0,0,0
6.2415375288,0,0,0
5.7593907406,1,1,1
5.6915820414,0,0,1
4.5338554188,0,1,1
5.7518603546,0,0,1
5.5396149205,0,0,0
4.6970062185,0,1,1
5.8557447665,1,1,1
5.0182920883,0,0,1
5.4160670904,0,1,0
5.5527391752,1,0,1
8.1467472404,1,1,1
6.3470465248,0,0,0
6.6298985279,1,0,1
5.2986683661,0,1,0
6.8261897227,0,0,0
5.417316526,0,1,1
6.0648146577,0,1,0
4.7157718935,0,0,0
6.9405552869,1,1,1
5.703138573,0,0,1
6.4160811039,1,0,1
5.5895787245,0,1,1
5.9311928135,1,0,1
7.5294915498,1,1,1
5.3426444612,0,0,1
5.4508225991,0,0,0
6.0992064632,0,1,0
6.0415960893,0,1,0
6.3047229393,1,1,1
6.68335887,1,1,1
5.5438498891,0,0,0
4.8653094297,0,0,0
7.1032752503,1,1,1
5.7337081256,0,1,1
5.5179952362,0,0,0
5.2089665205,0,1,0
6.4380811696,0,1,0
7.1685217216,0,0,0
5.5367817552,1,1,1
6.5402102933,0,1,0
6.4998275789,1,0,1
7.3129972738,1,1,1
4.7289477265,0,1,1
4.9699088843,0,0,1
6.9584595739,1,0,1
5.5815628095,0,1,1
5.3620938186,0,0,0
6.9001087398,1,1,1
6.133314411,0,1,0
4.6958682433,0,0,0
6.3679513578,0,1,0
5.3183176352,0,0,1
4.6429696366,0,1,1
6.5715877527,1,1,1
7.6382985747,1,0,0
5.4750483301,1,0,1
5.1497545945,0,0,0
6.765505002,0,0,1
6.4786887443,1,1,1
5.2305057886,0,1,1
5.5355753033,0,1,0
5.7225307557,0,1,1
5.2847732011,0,0,0
4.5624720018,0,1,0
6.1892184616,0,0,1
4.9878479621,0,0,0
4.7074618102,0,0,1
5.1026693462,0,0,1
6.4338185879,1,0,1
6.5271977682,0,1,0
6.6636551718,1,0,1
4.8372735701,0,1,1
6.3491853735,0,0,1
4.9232615787,0,1,0
6.2968314353,0,0,0
5.8878785852,0,1,0
6.7916510202,1,1,0
6.6710067863,1,0,1
6.3113835108,1,1,1
5.3839130199,0,0,0
5.5123969935,0,0,1
5.6782995049,0,0,0
7.4313299119,1,1,1
6.1456698888,1,0,1
4.3496949148,0,0,0
6.1651209194,0,1,1
6.4315678083,1,1,1
6.1967415139,0,1,0
6.2289422847,0,1,0
5.5559952029,0,0,1
5.3619930443,0,1,0
4.9839486873,0,0,1
6.1544312778,0,0,0
7.6905252493,1,1,1
6.4502749,1,1,0
5.5496501706,1,0,1
5.0460645549,0,0,0
4.4357411579,0,1,1
7.1576774221,0,0,0
6.5371563239,0,1,0
5.9539790267,1,1,1
6.0399513364,0,0,1
4.9692682865,0,0,1
7.1408273981,1,0,1
5.8114387369,0,0,0
6.168333197,0,0,0
5.2526333648,1,1,1
6.1563459522,0,0,0
5.9937988663,1,0,1
6.5912537785,0,0,0
5.8433918379,0,1,0
5.7706070526,0,1,0
5.6287117463,1,0,1
4.2862562066,0,0,0
4.8421069162,0,1,1
6.2770277196,0,1,0
7.3070243235,1,0,1
5.9462326713,1,1,1
6.919780974,1,1,1
6.0857916674,0,0,0
6.3024977,0,0,1
7.3408118146,0,1,0
4.9998392257,0,1,0
5.3943373467,0,1,1
5.3197324483,1,0,1
4.3719160551,1,1,1
7.3169463848,1,1,1
7.4608479959,1,1,1
5.6035023453,0,1,1
5.0890122763,0,0,0
5.8435179763,0,0,0
6.9643752341,0,0,0
6.8255724706,1,0,0
4.9637356154,0,1,0
4.9154095448,1,1,1
6.1660233676,0,1,0
5.2752820166,0,1,0
5.1590754545,0,0,0
6.9450514598,0,0,0
4.4465462262,1,1,1
4.5983240397,0,1,1
5.6597835782,0,0,1
5.3009808778,0,0,1
6.0880066912,0,0,0
5.7712582043,0,0,0
7.0941876977,1,1,1
5.0892931564,0,0,0
6.6709725309,0,1,0
6.3995382015,1,0,1
5.9261644645,1,0,0
5.2509518316,0,1,0
5.9257665615,0,0,1
6.7532602347,1,0,1
5.7551912134,0,0,0
5.4627769511,0,0,0
5.263585489,0,0,1
5.3552908178,0,1,0
7.2380539636,1,0,0
4.5827269126,0,0,1
5.3026073451,0,0,0
7.3518791227,1,0,1
6.8989631082,1,1,1
6.043282428,0,1,1
6.5976342622,0,0,0
5.8798661228,1,1,1
6.3023041682,1,1,1
6.2119145639,0,1,1
7.0985068037,0,0,0
4.0840700873,0,1,0
5.4156034007,0,0,1
5.6975837013,1,1,1
5.4824571304,1,1,1
4.8688350363,1,1,1
6.6066395876,1,1,1
5.1759456304,0,0,0
7.1193807019,1,1,0
5.2935949016,0,1,0
3.8388324748,0,1,1
6.9290730385,1,1,1
5.0136110723,0,0,0
6.0823084042,0,0,0
5.3959028725,0,1,1
7.1958614719,1,1,1
7.0328661829,1,0,1
5.9055349304,0,0,0
6.8856207008,0,0,0
7.9337822644,1,0,0
7.2415721539,0,1,0
5.7204666267,0,1,1
6.8453757266,1,1,1
5.1001736249,1,1,1
4.8658071006,0,1,1
6.4349242092,1,1,0
5.4901448889,0,1,1
5.4521042957,0,0,1
4.9503786985,0,0,0
5.8242536125,0,1,1
7.4756093895,1,0,1
6.5026296105,1,0,1
6.0197508149,0,0,0
4.2789560423,0,0,0
6.0083950893,0,0,0
3.9663533955,0,1,0
6.0971259339,0,1,0
5.6525520799,0,0,0
5.0183882507,0,0,0
5.0550574515,0,1,1
5.7919597621,0,0,0
4.9998881626,0,1,0
5.2271575716,0,1,1
4.8993392292,0,0,1
5.4796741528,1,1,1
6.4635191169,0,0,0
5.3995994847,0,0,0
6.5475229046,1,1,1
4.7135949429,0,1,0
5.6386198069,0,1,1
6.4673039168,0,0,0
7.0586081738,1,1,1
7.8228425368,1,1,0
5.1925750325,0,1,0
5.2857631071,1,0,1
5.244931084,0,0,1
6.5770568376,1,1,1
5.188222371,0,1,0
5.5930888521,0,0,1
5.6980275257,0,0,0
6.8258023503,1,0,0
5.2841996224,0,0,0
6.6432636504,1,0,1
5.5950094779,0,0,0
6.7467514354,1,1,1
5.9030563291,1,1,1
5.8419453838,0,1,0
6.5525532392,0,1,1
5.2916346109,0,0,0
6.3675488217,0,0,0
4.8184580024,0,0,0
6.3282318334,0,0,0
5.0714357416,0,0,0
4.7099285961,0,1,0
7.3944832413,1,0,1
5.6505083686,0,0,1
5.4842971419,1,1,1
5.2116282355,0,1,0
6.3399014419,1,1,1
5.7384060526,0,1,0
5.1554556794,0,1,1
6.1890328103,1,0,0
7.1051432445,0,0,0
5.979897628,1,0,1
6.5496876445,1,1,0
7.6095590895,1,1,1
6.3491130012,0,1,0
6.1532783282,0,1,0
6.1178696583,0,0,0
4.9533004188,0,0,0
5.2894995969,1,1,1
5.8035745265,0,1,0
6.6916113962,1,0,1
5.264334996,1,1,1
6.4128741333,0,0,0
6.083450098,0,0,0
6.9030143486,0,0,0
5.4617355318,0,0,0
5.564459217,1,1,1
6.8464270043,1,1,1
5.5654336626,0,0,1
7.3061393352,0,1,0
6.7134082765,0,1,1
7.1752461484,0,1,0
6.7269871172,1,1,0
5.9316378787,0,1,1
6.4638015673,1,0,0
4.7792142242,0,0,1
5.8847862158,0,1,0
5.3206135218,0,0,0
5.4657160842,1,0,1
6.666386407,0,1,0
6.4017294548,1,1,1
6.2005198275,0,0,0
5.5111811519,0,1,1
6.6974333305,1,1,1
5.1273569811,0,1,1
4.9917472789,0,0,1
4.5590823732,0,0,0
6.7494543317,0,0,0
6.2382735788,0,0,0
5.8265369443,0,1,0
5.7960151632,0,1,1
5.719292428,0,1,0
7.07661855,0,0,0
7.1070878411,1,0,1
7.3745062721,1,1,1
6.1802691872,1,1,1
5.1727428614,0,1,1
4.1887855595,0,1,1
5.8644178042,0,0,1
6.2441780611,1,1,1
5.84958217,1,1,1
5.461610624,0,0,0
5.8511490023,0,1,0
6.9901729494,1,0,1
6.507985599,0,0,0
6.1076523265,1,0,1
4.7682648599,0,0,1
5.8540590092,0,1,1
5.5147422815,0,0,0
5.1698895105,0,0,0
5.6968263549,0,0,0
5.7837814898,0,0,0
7.036765141,0,1,0
5.7256388654,0,1,0
6.4983125521,1,0,1
6.5103334923,1,0,1
6.5397658504,0,0,0
6.7242449098,1,0,1
7.081719137,1,0,1
5.3537416537,0,0,0
5.9071479087,1,1,1
5.5401147229,1,1,1
6.0844872904,1,0,1
7.6077181261,1,1,1
4.653567646,0,1,0
4.5933327226,0,0,0
5.8278271317,0,0,1
6.3104790547,0,0,0
5.6768804162,0,0,0
7.2487730621,1,0,1
6.0157261679,0,0,0
6.8288197412,1,1,1
5.1089051977,0,1,0
4.8017333534,0,0,0
6.6139820228,0,0,0
6.6523623917,0,0,1
5.8027262521,0,1,1
6.6574601852,1,1,1
7.087040636,1,0,1
5.6575257763,1,1,1
5.2532973355,0,1,0
6.7740118807,0,0,0
5.7062748262,1,1,1
4.9928642854,0,1,1
5.7795173969,1,1,0
5.6616233231,0,1,0
5.4415539908,0,1,0
7.1331476859,1,1,1
4.6829325258,0,1,0
6.2279755237,1,1,1
6.8088017886,1,1,1
7.2840360853,1,0,1
4.7942097819,0,1,1
5.3982729524,0,0,1
6.956114368,1,1,1
4.3575100191,0,1,0
5.8783612353,0,0,1
7.1002606028,1,0,1
6.1678834942,0,0,0
5.7080044679,0,0,0
5.8283563648,0,0,0
7.8265750095,1,1,1
5.8874342179,0,1,0
4.0824170906,0,1,0
5.4802315625,1,1,1
5.3017390379,0,1,1
5.8552974161,0,1,1
5.4414522823,0,1,0
4.8088160856,0,0,0
4.5777624848,0,1,1
5.5953156068,0,1,1
6.327856219,1,0,1
6.5307245796,1,0,1
6.6245274467,0,0,0
4.7405715022,0,1,0
6.9680782841,1,0,0
5.5630989367,0,1,0
6.0413642568,0,0,0
4.6096077723,0,0,1
4.7171018403,0,0,0
4.4997415232,0,0,1
5.1274526694,0,0,0
5.1059233046,0,1,0
7.2420539799,1,0,1
5.9934131609,0,0,0
7.0459897433,0,0,0
7.1215711657,1,1,1
6.2206533508,1,0,1
4.9360651517,0,1,1
5.4960426102,0,1,0
5.5214482074,1,1,1
5.3090232044,0,1,1
4.6880256194,0,1,1
5.9300926495,1,0,1
6.62260254,1,0,0
5.6591815934,0,0,0
5.4442751495,0,0,0
6.8059011728,1,0,1
6.4897048638,0,0,0
5.5353678167,0,1,0
6.3738868946,1,0,1
6.1632396304,1,1,0
5.963434822,0,0,0
5.8395902739,0,0,1
5.0091909209,0,0,0
4.8706448422,0,0,0
6.9487493773,1,0,1
5.7123227241,0,0,0
4.8648818456,0,1,0
7.6716524515,1,0,1
5.4120849935,0,1,1
5.7826806284,0,0,0
6.4258776502,0,0,0
4.6347675166,1,1,1
6.5977476727,1,0,1
6.4130390973,0,0,0
5.0928935821,0,0,1
5.8198988366,0,1,0
5.3912738807,0,0,0
7.0412998094,1,1,1
6.3493949698,1,0,1
5.997200556,0,0,0
5.7068512368,0,1,0
7.1215702961,1,1,1
5.9251145166,0,1,0
6.3340480841,1,1,1
6.4577441187,0,1,0
6.5488539199,1,0,1
5.0636867465,0,0,0
6.4847978664,1,1,1
5.6413254059,0,0,1
5.6756014934,0,1,0
6.9813786678,1,0,1
3.934752295,0,1,0
5.2753114426,0,1,0
4.2964905035,0,0,1
5.1176005307,0,0,0
6.2124913103,0,0,1
5.5325780893,0,0,0
6.2950071411,0,1,0
6.7796443646,0,0,0
5.2192161622,0,0,0
5.3296933225,0,0,0
6.6888580239,0,1,1
6.0103425006,1,1,0
6.2042567106,0,0,0
5.122383612,0,1,1
5.362749425,0,0,0
